Part Number|Description|Part Revision|Drawing Revision|Project Code|Material Spec.|Material
1822M28G04|CASE COMPRESSOR|BH|BB|AB01|BMS7-430|Inconel 718 Nickel Alloy
2060M40G02-101|2060M40G02-SEQ08-CMM|AB1|AE|AB01|BMS7-304|Aluminum Alloy 7075
351100SN-101|EXTERNAL SKIN (PRE-MACHINING)|AE|AL|AB01|BMS7-331|Titanium Alloy 6AL-4V
351100SN-102|AFT- SHALF FLANGE (PRE-MACHINING)|N|L01|AB01|BMS7-26|Aluminum Alloy 2024
351100SN-103|AFT OUTER FLANGE (PRE-MACHINING)|Q|G|AB01|BMS7-26|Aluminum Alloy 2024
351-104-011-0|CASE, FWD-HPC|U02|AS|AB01|ABP3-2304|Aluminum Alloy 2024
351-104-012-0|CASE, FWD-HPC|AC|G02|AB01|ABP3-2304|Aluminum Alloy 2024
382105FSN-101|GP7200 CASE,FWD-HPC|AL|AM|AB01|ABP3-7101|15-5PH Stainless Steel
382105FSN-102|GP7200 CASE,FWD-HPC|S01|D00|AB01|ABP3-7101|15-5PH Stainless Steel
SC-1822M28G04|CASE COMPRESSOR|G|F02|AB01|AMS5643|Stainless Steel 321
SC-2302M67G07|CASE, COMPRESSOR STATOR- FORWARD|Y|Y|AB01|ABP3-2101|Aluminum Alloy 7075
SC-2302M67G11|CASE, COMPRESSOR STATOR- FORWARD|AD2|D01|AB01|AMS4928|Titanium Alloy Ti-6Al-4V
SC-382-105-607-0|CASE, EXT-HPC (GP7200)|AD1|C01|AB01|AMS5643|Stainless Steel 321
SC-9206M96G05|CASE COMPRESSOR STATOR- FRONT|AB|AU|AB01|BMS7-26|Aluminum Alloy 2024
SC-9206M96G06|CASE COMPRESSOR STATOR- FRONT|Y|E00|AB01|BMS7-304|Aluminum Alloy 7075
30J1297-01|HOUSING-BEARING NO. 2|C|J|AB02|AMS5643|Stainless Steel 321
31J1158-01|HOUSING-BEARING NO. 1|H|AN|AB02|BMS7-430|Inconel 718 Nickel Alloy
31J2066-01|HOUSING-BEARING NO. 1|W01|AW|AB02|ABP3-4201|Titanium Alloy Plate
31J2904-01|HOUSING-BEARING NO. 2|AD|AA|AB02|ABP3-4201|Titanium Alloy Plate
351-3109-13|TRU_BRACKET_1_SUPPORT_HINGE-COVER_LH|AT|H01|AB03|ABP3-2304|Aluminum Alloy 2024
351-3109-14|TRU_BRACKET_1_SUPPORT_HINGE-COVER_RH|T|C|AB03|AMS4928|Titanium Alloy Ti-6Al-4V
351-3109-17|TRU_BRACKET_3_SUPPORT_HINGE-COVER_LH|G|H01|AB03|BMS7-380|Stainless Steel 15-5PH
351-3109-18|TRU_BRACKET_3_SUPPORT_HINGE-COVER_RH|BA|V01|AB03|BMS7-380|Stainless Steel 15-5PH
351-3302-7|TRU_CLEVIS_ACR_BEAM|A|AC2|AB03|ABP3-2101|Aluminum Alloy 7075
143-108-201 G 011|FEDERHULSE CP108|Z01|AM|AD01|ABP3-2304|Aluminum Alloy 2024
A-000-035|SEAL HOUSING|Z01|BA|AD01|BMS7-331|Titanium Alloy 6AL-4V
AA000-277|STANDPIPE, BODY|N|V01|AD01|ABP3-2101|Aluminum Alloy 7075
AA000-279|BLEED VALVE BODY|F01|A00|AD01|ABP3-4001|Titanium Alloy Ti-6Al-4V
AA000-289|BODY|Z|AU|AD01|BMS7-380|Stainless Steel 15-5PH
AA000-291|FLAP|BA|AH|AD01|ABP3-4201|Titanium Alloy Plate
AA002-397|STANDPIPE BODY (STAGE 7)|F02|C00|AD01|BMS7-304|Aluminum Alloy 7075
AA002-415|STANDPIPE BODY (STAGE 4)|S|D02|AD01|BMS7-380|Stainless Steel 15-5PH
AA002-416|BLEED VALVE BODY (STAGE 4)|H01|BK|AD01|BMS7-331|Titanium Alloy 6AL-4V
AA002-417|BLEED VALVE BODY (STAGE 7)|E00|C00|AD01|AMS4928|Titanium Alloy Ti-6Al-4V
AC69567|SOLENOID HOUSING|BD|BB|AD01|ABP3-2304|Aluminum Alloy 2024
AC69643|SOLENOID HOUSING|AP1|E00|AD01|BMS7-26|Aluminum Alloy 2024
ACM 28019|PISTON|C01|F|AD01|BMS7-26|Aluminum Alloy 2024
ACO 40657|VALVE SEAT (LOWER)|D00|B01|AD01|AMS4928|Titanium Alloy Ti-6Al-4V
ACO 41445|VALVE SEAT (LOWER)|AN1|E00|AD01|BMS7-304|Aluminum Alloy 7075
EA100680|BR710 BLEED VALVE BODY|AG1|AN|AD01|AMS5643|Stainless Steel 321
EB100956|BR STANPIPE (PRIOR TO PINNING)|AV|D02|AD01|AMS4928|Titanium Alloy Ti-6Al-4V
EC100957|BR710 STANPIPE PINNED ASSY|D00|A|AD01|ABP3-4001|Titanium Alloy Ti-6Al-4V
ED100277|LOCKING PIN|T|BD|AD01|BMS7-26|Aluminum Alloy 2024
ED100299|UNION|E00|AW|AD01|AMS5662|Inconel 718 Nickel Alloy
ED100425C|STANPIPE SECTIONAL ARRANGMENT|AR|B|AD01|AMS5662|Inconel 718 Nickel Alloy
052-102338|FRAME GP7200VMS|L|AK|AD02|ABP3-2101|Aluminum Alloy 7075
144-202-101-021|GEHÄUSE CA 202|Z01|U|AD02|BMS7-430|Inconel 718 Nickel Alloy
241-298-211-011|BRÜCKE|M|AS|AD02|BMS7-331|Titanium Alloy 6AL-4V
241-298-502-011|FÜHRUNG|AS|BK|AD02|AMS4928|Titanium Alloy Ti-6Al-4V
271-101-164-011|BRACKET|S|Y|AD02|BMS7-304|Aluminum Alloy 7075
271-123-222-012|DRAIN THERMIQUE INFERIEUR|S01|V01|AD02|ABP3-2304|Aluminum Alloy 2024
271-123-223-012|DRAIN THERMIQUE SUPERIEUR|D00|BG|AD02|ABP3-2101|Aluminum Alloy 7075
271-123-229-011|CENTERING EMU-POWER SUPPLY|L|AP|AD02|ABP3-4201|Titanium Alloy Plate
271-123-262-012|SUPPORT FERRITE EMU_POWER SUPPLY|F01|AB|AD02|ABP3-2304|Aluminum Alloy 2024
271-126-111-022|FRONT COVER|B01|AU|AD02|BMS7-304|Aluminum Alloy 7075
271-126-262-011|SUPPORT FERRITE|E01|C00|AD02|BMS7-430|Inconel 718 Nickel Alloy
271-126-263-021|FERMETURE FERRITE|D03|D03|AD02|BMS7-304|Aluminum Alloy 7075
271-126-267-022|SUPPORT PRINT AC/DC CONVERTER|AJ|BD|AD02|BMS7-304|Aluminum Alloy 7075
271-127-111-022K|FRONT COVER|BD|C00|AD02|BMS7-430|Inconel 718 Nickel Alloy
271-127-151-022K|REAR COVER|AB1|BB|AD02|ABP3-4001|Titanium Alloy Ti-6Al-4V
289-101-102-012|DISTANZHALTER OBRM|H|J|AD02|ABP3-4201|Titanium Alloy Plate
444-310-053-101|ABSCHLUSSHÜLSE CE 310|AD1|BG|AD02|BMS7-331|Titanium Alloy 6AL-4V
444-311-102-011|PRINTHALTER CE 311|A|E|AD02|AMS4928|Titanium Alloy Ti-6Al-4V
800-151-002-011|HALTEPLATTE PA 151|K|H01|AD02|BMS7-26|Aluminum Alloy 2024
922-119-001-011|ABSCHLUSSHÜLSE|BB|BG|AD02|BMS7-26|Aluminum Alloy 2024
957.12.07.8100|STIFFENER HVM/BFG|W01|AP|AD02|BMS7-380|Stainless Steel 15-5PH
957.12.07.8105|STIFFENER|Z|AJ|AD02|BMS7-331|Titanium Alloy 6AL-4V
957.12.07.8205|STIFFENER FOR SHOCK MOUNTS|P|BB|AD02|BMS7-304|Aluminum Alloy 7075
5010626|HOUSING, SPRING|AP1|A00|AD03|BMS7-304|Aluminum Alloy 7075
5012320|PISTON|R|AG|AD03|BMS7-26|Aluminum Alloy 2024
5012358|INSULATOR, PISTON|V01|AT|AD03|ABP3-4001|Titanium Alloy Ti-6Al-4V
5013723|HOUSING, SPRING|AH|BH|AD03|ABP3-2101|Aluminum Alloy 7075
6004656|CAP, DRIVE CONTROL|AD1|U|AD03|ABP3-2304|Aluminum Alloy 2024
6006969|GUIDE, PLUNGER|P|K|AD03|ABP3-4001|Titanium Alloy Ti-6Al-4V
6007091|PLUG|AG1|BG|AD03|BMS7-430|Inconel 718 Nickel Alloy
6007136-1|ADAPTER, CONNECTOR|AR|AR|AD03|BMS7-26|Aluminum Alloy 2024
6007155|SLEEVE, GUIDE|E02|N|AD03|AMS5643|Stainless Steel 321
6007159-2|LEVER|B00|U01|AD03|ABP3-2304|Aluminum Alloy 2024
90005146|PISTON|AK|Y|AD03|ABP3-4201|Titanium Alloy Plate
90005433|INSULATOR, PISTON|AR|E00|AD03|AMS4928|Titanium Alloy Ti-6Al-4V
90005452|DRIVE CAP|AC2|AE|AD03|ABP3-2304|Aluminum Alloy 2024
90006033|PISTON|B01|Q|AD03|BMS7-331|Titanium Alloy 6AL-4V
90006034|HOUSING, SPRING|L|AG1|AD03|AMS5662|Inconel 718 Nickel Alloy
90006067-1|SLEEVE, CYLINDER|M|AG|AD03|BMS7-380|Stainless Steel 15-5PH
90006068|PISTON|V01|AL|AD03|BMS7-331|Titanium Alloy 6AL-4V
90006084|INSULATOR, METAL|AP|K|AD03|BMS7-304|Aluminum Alloy 7075
90006321|RETAINER, PIN, BRAKE RETURN|D03|BD|AD03|AMS4928|Titanium Alloy Ti-6Al-4V
90007472|VALVE, BLEEDER|AJ|AE|AD03|BMS7-304|Aluminum Alloy 7075
4053549-901|BRACKET, ELECTRICAL EQUIPMENT|N|BB|AE01|BMS7-26|Aluminum Alloy 2024
4073789-901|HOUSING, MECHANICAL|AD2|K|AE01|ABP3-4001|Titanium Alloy Ti-6Al-4V
4081905-901|FRAME ASSY, SUPP. CORE PROC.|AN1|V01|AE01|ABP3-2304|Aluminum Alloy 2024
