Machine Name|Serial Number|Machine Workcenter|Machine Model|Status
A002|P117XK535|3X-09|FANUC Robodrill a-T21iFb|INACTIVE
A003|G8952-0054|3X-23|UM500DH|INACTIVE
A004|G8952-0053|3X-23|UM500DH|INACTIVE
A006|287706|2X-10|QT200|INACTIVE
A007|NL153170920|2X-09|NLX1500|INACTIVE
A008|G8952-0055|3X-23|UM500DH|INACTIVE
A009|14585618044|3X-20|DMC1150V|INACTIVE
A010|14585617994|3X-20|DMC1150V|INACTIVE
A011|12620000563|5X-12|DMC60H|INACTIVE
A012|12620000553|5X-12|DMC60H|INACTIVE
A013|290299|2X-10|QT200|INACTIVE
A014|G8952-0084|3X-23|UM500DH|INACTIVE
A015|NL153180416|2X-09|NLX1500|INACTIVE
A016|294599|5X-08|VRXi-500|INACTIVE
A017|NV504180628|4X-10|NVX5100 (3X + Indexer)|INACTIVE
A018|294600|5X-08|VRXi-500|INACTIVE
A019|12710007873|5X-13|DMU95 monoBLOCK|INACTIVE
A020|NV504180623|4X-10|NVX5100 (3X + Indexer)|INACTIVE
A021|NL153180814|2X-09|NLX1500|INACTIVE
A022|NV504180626|4X-10|NVX5100 (3X + Indexer)|INACTIVE
A023|NV504180618|4X-10|NVX5100 (3X + Indexer)|INACTIVE
A024|MV0041-000277|3X-26|DNM500HS|INACTIVE
A025|MV0041-000278|3X-26|DNM500HS|INACTIVE
A026|12710007823|5X-13|DMU95 monoBLOCK|INACTIVE
A1-31|MV0097-000172|3X-27|MYNX 9500|ACTIVE
A1-33|232129|3X-08|VTC200C|ACTIVE
A1-52|024433|5X-15|AERO-426|ACTIVE
A2-31|MV0062-000833|3X-28|DNM750L-II|ACTIVE
A2-52|12710007823|5X-13|DMU95 monoBLOCK|ACTIVE
A2-53|10000002906|5X-13|DMU95 monoBLOCK|ACTIVE
A3-31|MV0062-000834|3X-28|DNM750L-II|ACTIVE
A3-52|12710008043|5X-13|DMU95 monoBLOCK|ACTIVE
A4-31|G8952-0084|3X-23|UM500DH|INACTIVE
A4-31a|MV0041-000278|3X-26|DNM500HS|ACTIVE
A4-32|231616|3X-10|VCS430A|ACTIVE
A4-53|12140018913|5X-14|DMU65 monoBLOCK|ACTIVE
A5-31|G8952-0054|3X-23|UM500DH|INACTIVE
A5-31A|MV0041-000277|3X-26|DNM500HS|ACTIVE
A5-42|G8952-0055|3X-23|UM500DH|INACTIVE
A5-42A|266744|4X-07|VCN530C-HS (3X + Indexer)|ACTIVE
A5-53|12140018903|5X-14|DMU65 monoBLOCK|ACTIVE
A6-31|MV0041-000278|3X-26|DNM500HS|INACTIVE
A6-31a|G8952-0084|3X-23|UM500DH|ACTIVE
A6-32|MV0041-000277|3X-26|DNM500HS|INACTIVE
A6-32A|G8952-0053|3X-23|UM500DH|ACTIVE
A6-34|G8952-0054|3X-23|UM500DH|ACTIVE
A6-35|G8952-0055|3X-23|UM500DH|ACTIVE
A6-53|12620000553|5X-12|DMC60H|ACTIVE
A7-31|AZMY4002|3X-29|E17040-V2|ACTIVE
A7-32|AZMY3001|3X-29|E17040-V2|ACTIVE
A7-53|12620000753|5X-12|DMC60H|ACTIVE
A8-31|AZMY9004|3X-29|E17040-V2|ACTIVE
A8-32|AZMY7003|3X-29|E17040-V2|ACTIVE
A8-53|12620000563|5X-12|DMC60H|ACTIVE
AV06|P11ZXK017|3X-09|FANUC Robodrill a-T21iFb|INACTIVE
AV07|P122XK602|4X-16|FANUC Robodrill a-T21iFb|INACTIVE
AV08|P124XKJ69|3X-09i|FANUC Robodrill a-T21iFb|INACTIVE
AV09|P122XKH81|3X-09|FANUC Robodrill a-T21iFb|INACTIVE
AV11|035269|4X-15|TMV510A-II (Indexer)|INACTIVE
AV12|035268|4X-15|TMV510A-II (Indexer)|INACTIVE
B1-32|203823|3X-07|VCN510C-II|ACTIVE
B1-33|P117XK535|3X-09|FANUC Robodrill a-T21iFb|INACTIVE
B1-34|034768|3X-14|TMV1600A|ACTIVE
B1-45|034769|4X-14|TMV1600A (Indexer)|ACTIVE
B1-51|12140019183|5X-14|DMU65 monoBLOCK|ACTIVE
B1-53|12140022203|5X-14|DMU65 monoBLOCK|ACTIVE
B2-32|P117XK535|3X-09|FANUC Robodrill a-T21iFb|INACTIVE
B2-32a|VD010060|3X-30|DVD5200 Dual Spindle|ACTIVE
B2-33|VD010061|3X-30|DVD5200 Dual Spindle|ACTIVE
B2-34|VD010067|3X-30|DVD5200 Dual Spindle|ACTIVE
B2-35|VD010068|3X-30|DVD5200 Dual Spindle|ACTIVE
B2-51|12620000953|5X-12|DMC60H|ACTIVE
B3-41|268110|4X-08|VCN700D (3X + Indexer)|ACTIVE
B3-52|15475745484|5X-07|DMU60 Evo|ACTIVE
C-32|CMXV1231029|3X-32|CMX1100V|INACTIVE
C-33|CMXV1231029|3X-32|CMX1100V|ACTIVE
C-34|CMXV1241101|3X-32|CMX1100V|ACTIVE
C-51|12140022153|5X-14|DMU65 monoBLOCK|ACTIVE
C-52|12140022163|5X-14|DMU65 monoBLOCK|ACTIVE
FC01|243039|4X-01|HCN6000 II|ACTIVE
FC02|244490|3X-11|VCN535|ACTIVE
FC03|250436|5X-02|VRX730-5X II|ACTIVE
FC04|250796|4X-01|HCN6000 II|ACTIVE
FC05|261526|4X-01|HCN6000 II|ACTIVE
FC06|261527|4X-01|HCN6000 II|ACTIVE
FC07|11880000913|5X-04|DMC80 U duoBLOCK|ACTIVE
FC08|M256363E20A|3X-18|SIRIUS-650|ACTIVE
FC09|253410|5X-05|Integrex i-630V|ACTIVE
FC10|265558|5X-06|Vortex i-630V/6|ACTIVE
FC11|265559|5X-06|Vortex i-630V/6|ACTIVE
FC12|15475739884|5X-07|DMU60 Evo|ACTIVE
FC13|14585609704|3X-20|DMC1150V|INACTIVE
FC13a|NV505230113|3X-31|NVX5060 HT|ACTIVE
FC14|14585609674|3X-20|DMC1150V|ACTIVE
FC15|269124|4X-01|HCN6000 II|ACTIVE
FC16|14585610364|3X-20|DMC1150V|ACTIVE
FC17|15475739874|5X-07|DMU60 Evo|ACTIVE
FC18|15475739904|5X-07|DMU60 Evo|ACTIVE
GK01|034768|3X-14|TMV1600A|INACTIVE
GK02|034769|4X-14|TMV1600A (Indexer)|INACTIVE
GR01|227325|3X-08|VTC200C|ACTIVE
GR02|203823|3X-07|VCN510C-II|INACTIVE
GR03|232129|3X-08|VTC200C|INACTIVE
GR04|268110|4X-08|VCN700D (3X + Indexer)|INACTIVE
H1-21|Y2-1286|2X-04|Victor Turning|ACTIVE
H1-42|283496|4X-13|HCN4000 III|ACTIVE
H1-43|269004|4X-13|HCN4000 III|ACTIVE
H1-44|261684|4X-13|HCN4000 III|ACTIVE
H2-31|276775|3X-21|VCN430A-II HS|INACTIVE
H2-51|283192|5X-11|Integrex i-200|ACTIVE
H2-52|283193|5X-10|Integrex j-200s|ACTIVE
H2-53|264750|5X-09|Integrex j-200|ACTIVE
H2-54|283194|5X-10|Integrex j-200s|ACTIVE
H3-31|NV503170603|3X-22|NVX5060|INACTIVE
H3-34|276775|3X-21|VCN430A-II HS|ACTIVE
H3-35|NV503170512|3X-22|NVX5060|ACTIVE
H3-36|NV503170603|3X-22|NVX5060|ACTIVE
H3-51|11415589584|5X-03|DMU50|ACTIVE
H3-52|281392|5X-08|VRXi-500|ACTIVE
H3-53|268112|5X-08|VRXi-500|ACTIVE
HW01|183367|2X-03|QTN150|INACTIVE
HW02|186970|2X-03|QTN150|INACTIVE
