Part Number|Description|Part Revision|Drawing Revision|Project Code|Material Spec.|Material
1822M28G04|CASE COMPRESSOR|AJ|Z|AB01|BMS7-430|Inconel 718 Nickel Alloy
2060M40G02-101|2060M40G02-SEQ08-CMM|AN1|AD2|AB01|BMS7-304|Aluminum Alloy 7075
351100SN-101|EXTERNAL SKIN (PRE-MACHINING)|AC|F02|AB01|BMS7-331|Titanium Alloy 6AL-4V
351100SN-102|AFT- SHALF FLANGE (PRE-MACHINING)|AA|AA|AB01|BMS7-26|Aluminum Alloy 2024
351100SN-103|AFT OUTER FLANGE (PRE-MACHINING)|C00|C01|AB01|BMS7-26|Aluminum Alloy 2024
351-104-011-0|CASE, FWD-HPC|T01|D01|AB01|ABP3-2304|Aluminum Alloy 2024
351-104-012-0|CASE, FWD-HPC|D02|BG|AB01|ABP3-2304|Aluminum Alloy 2024
382105FSN-101|GP7200 CASE,FWD-HPC|BG|AE|AB01|ABP3-7101|15-5PH Stainless Steel
382105FSN-102|GP7200 CASE,FWD-HPC|J01|E01|AB01|ABP3-7101|15-5PH Stainless Steel
SC-1822M28G04|CASE COMPRESSOR|AN1|P|AB01|AMS5643|Stainless Steel 321
SC-2302M67G07|CASE, COMPRESSOR STATOR- FORWARD|AP|M01|AB01|ABP3-2101|Aluminum Alloy 7075
SC-2302M67G11|CASE, COMPRESSOR STATOR- FORWARD|S|E00|AB01|AMS4928|Titanium Alloy Ti-6Al-4V
SC-382-105-607-0|CASE, EXT-HPC (GP7200)|AP1|Z|AB01|AMS5643|Stainless Steel 321
SC-9206M96G05|CASE COMPRESSOR STATOR- FRONT|D01|D02|AB01|BMS7-26|Aluminum Alloy 2024
SC-9206M96G06|CASE COMPRESSOR STATOR- FRONT|H|U|AB01|BMS7-304|Aluminum Alloy 7075
30J1297-01|HOUSING-BEARING NO. 2|M|D00|AB02|AMS5643|Stainless Steel 321
31J1158-01|HOUSING-BEARING NO. 1|AL|G|AB02|BMS7-430|Inconel 718 Nickel Alloy
31J2066-01|HOUSING-BEARING NO. 1|AG1|C00|AB02|ABP3-4201|Titanium Alloy Plate
31J2904-01|HOUSING-BEARING NO. 2|AV|AV|AB02|ABP3-4201|Titanium Alloy Plate
351-3109-13|TRU_BRACKET_1_SUPPORT_HINGE-COVER_LH|B00|D|AB03|ABP3-2304|Aluminum Alloy 2024
351-3109-14|TRU_BRACKET_1_SUPPORT_HINGE-COVER_RH|U02|Y|AB03|AMS4928|Titanium Alloy Ti-6Al-4V
351-3109-17|TRU_BRACKET_3_SUPPORT_HINGE-COVER_LH|K|S|AB03|BMS7-380|Stainless Steel 15-5PH
351-3109-18|TRU_BRACKET_3_SUPPORT_HINGE-COVER_RH|F02|Y|AB03|BMS7-380|Stainless Steel 15-5PH
351-3302-7|TRU_CLEVIS_ACR_BEAM|B00|AD2|AB03|ABP3-2101|Aluminum Alloy 7075
143-108-201 G 011|FEDERHULSE CP108|D01|M01|AD01|ABP3-2304|Aluminum Alloy 2024
A-000-035|SEAL HOUSING|M|L01|AD01|BMS7-331|Titanium Alloy 6AL-4V
AA000-277|STANDPIPE, BODY|A00|AR|AD01|ABP3-2101|Aluminum Alloy 7075
AA000-279|BLEED VALVE BODY|B|J|AD01|ABP3-4001|Titanium Alloy Ti-6Al-4V
AA000-289|BODY|D02|C00|AD01|BMS7-380|Stainless Steel 15-5PH
AA000-291|FLAP|BG|W|AD01|ABP3-4201|Titanium Alloy Plate
AA002-397|STANDPIPE BODY (STAGE 7)|U|A00|AD01|BMS7-304|Aluminum Alloy 7075
AA002-415|STANDPIPE BODY (STAGE 4)|AD1|AD2|AD01|BMS7-380|Stainless Steel 15-5PH
AA002-416|BLEED VALVE BODY (STAGE 4)|K|BK|AD01|BMS7-331|Titanium Alloy 6AL-4V
AA002-417|BLEED VALVE BODY (STAGE 7)|AA|T|AD01|AMS4928|Titanium Alloy Ti-6Al-4V
AC69567|SOLENOID HOUSING|AU|B01|AD01|ABP3-2304|Aluminum Alloy 2024
AC69643|SOLENOID HOUSING|G|AC2|AD01|BMS7-26|Aluminum Alloy 2024
ACM 28019|PISTON|E00|N|AD01|BMS7-26|Aluminum Alloy 2024
ACO 40657|VALVE SEAT (LOWER)|S02|AD1|AD01|AMS4928|Titanium Alloy Ti-6Al-4V
ACO 41445|VALVE SEAT (LOWER)|AC2|AB|AD01|BMS7-304|Aluminum Alloy 7075
EA100680|BR710 BLEED VALVE BODY|S02|AD2|AD01|AMS5643|Stainless Steel 321
EB100956|BR STANPIPE (PRIOR TO PINNING)|AN|R|AD01|AMS4928|Titanium Alloy Ti-6Al-4V
EC100957|BR710 STANPIPE PINNED ASSY|B00|AV|AD01|ABP3-4001|Titanium Alloy Ti-6Al-4V
ED100277|LOCKING PIN|A00|J|AD01|BMS7-26|Aluminum Alloy 2024
ED100299|UNION|AM|AP|AD01|AMS5662|Inconel 718 Nickel Alloy
ED100425C|STANPIPE SECTIONAL ARRANGMENT|R|AS|AD01|AMS5662|Inconel 718 Nickel Alloy
052-102338|FRAME GP7200VMS|B01|AG|AD02|ABP3-2101|Aluminum Alloy 7075
144-202-101-021|GEHÄUSE CA 202|AD2|AE|AD02|BMS7-430|Inconel 718 Nickel Alloy
241-298-211-011|BRÜCKE|AD2|G02|AD02|BMS7-331|Titanium Alloy 6AL-4V
241-298-502-011|FÜHRUNG|AU|AN1|AD02|AMS4928|Titanium Alloy Ti-6Al-4V
271-101-164-011|BRACKET|AD1|M|AD02|BMS7-304|Aluminum Alloy 7075
271-123-222-012|DRAIN THERMIQUE INFERIEUR|U02|U02|AD02|ABP3-2304|Aluminum Alloy 2024
271-123-223-012|DRAIN THERMIQUE SUPERIEUR|R|U01|AD02|ABP3-2101|Aluminum Alloy 7075
271-123-229-011|CENTERING EMU-POWER SUPPLY|R|V01|AD02|ABP3-4201|Titanium Alloy Plate
271-123-262-012|SUPPORT FERRITE EMU_POWER SUPPLY|AC2|K|AD02|ABP3-2304|Aluminum Alloy 2024
271-126-111-022|FRONT COVER|AA|P|AD02|BMS7-304|Aluminum Alloy 7075
271-126-262-011|SUPPORT FERRITE|AC|AB1|AD02|BMS7-430|Inconel 718 Nickel Alloy
271-126-263-021|FERMETURE FERRITE|U01|AW|AD02|BMS7-304|Aluminum Alloy 7075
271-126-267-022|SUPPORT PRINT AC/DC CONVERTER|U01|AQ|AD02|BMS7-304|Aluminum Alloy 7075
